,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
117,118,Coimbatore North,Kongu,GEN,AIADMK,40.16,1.97,TVK,40.91,9.73,226109,29,True,0.75,7.76
118,119,Thondamuthur,Kongu,GEN,AIADMK,53.89,18.06,AIADMK,36.09,5.7,258549,22,False,-17.8,-12.36
119,120,Coimbatore South,Kongu,GEN,BJP,34.38,1.12,DMK,38.16,1.45,156499,32,True,3.78,0.33
120,121,Singanallur,Kongu,GEN,AIADMK,40.22,5.37,TVK,38.08,8.66,221033,29,True,-2.14,3.29
121,122,Kinathukadavu,Kongu,GEN,AIADMK,43.68,0.47,TVK,37.31,4.37,267917,6,True,-6.37,3.9
122,123,Pollachi,Kongu,GEN,AIADMK,45.44,0.97,DMK,34.22,2.55,181196,14,True,-11.22,1.58
123,124,Valparai,Kongu,SC,AIADMK,49.37,8.42,DMK,36.34,6.23,150431,7,True,-13.03,-2.19
124,125,Udumalpet,Kongu,GEN,AIADMK,49.85,11.27,DMK,33.67,1.42,203575,12,True,-16.18,-9.85
125,126,Madathukulam,Kongu,GEN,AIADMK,46.35,3.54,DMK,37.43,8.48,188249,14,True,-8.92,4.94
126,127,Palani,South,GEN,DMK,52.86,14.63,AIADMK,32.11,0.33,208619,16,True,-20.75,-14.3
127,128,Oddanchatram,South,GEN,DMK,54.51,14.25,DMK,46.17,21.45,201624,15,False,-8.34,7.2
128,129,Athoor,South,GEN,DMK,72.11,58.96,DMK,44.79,9.43,237183,16,False,-27.32,-49.53
129,130,Nilakottai,South,SC,AIADMK,49.49,14.94,TVK,34.71,1.48,197593,16,True,-14.78,-13.46
130,131,Natham,South,GEN,AIADMK,47.84,5.3,AIADMK,35.84,4.96,239140,22,False,-12.0,-0.34
131,132,Dindigul,South,GEN,AIADMK,46.43,9.1,DMK,35.13,0.53,212024,21,True,-11.3,-8.57
132,133,Vedasandur,South,GEN,DMK,49.97,8.24,DMK,37.5,4.44,226554,16,False,-12.47,-3.8
133,134,Aravakurichi,Kongu,GEN,DMK,52.72,14.01,DMK,39.11,10.7,181078,31,False,-13.61,-3.31
134,135,Karur,Kongu,GEN,DMK,49.08,6.0,AIADMK,32.99,0.84,216829,80,True,-16.09,-5.16
135,136,Krishnarayapuram,Kongu,SC,DMK,53.37,17.48,TVK,32.94,1.85,189357,29,True,-20.43,-15.63
136,137,Kulithalai,Kongu,GEN,DMK,51.06,11.92,DMK,32.59,0.28,209091,30,False,-18.47,-11.64
137,138,Manapparai,Delta,GEN,DMK,44.23,5.52,TVK,34.43,0.59,241216,19,True,-9.8,-4.93
138,139,Srirangam,Delta,GEN,DMK,47.41,8.29,TVK,40.49,13.17,254985,22,True,-6.92,4.88
139,140,Tiruchirapalli (West),Delta,GEN,DMK,64.52,46.48,DMK,44.94,2.44,196347,15,False,-19.58,-44.04
